variant,p,d,q,P,D,Q,m,aic,bic,llf,fit_seconds,ok,error
exog,0,1,0,2,1,2,7,20262.21204593769,20306.498689640077,-10123.106022968845,3.6177148818969727,True,
exog,0,1,1,0,1,0,7,20283.460714529996,20311.174432256837,-10136.730357264998,0.8838849067687988,True,
exog,0,1,1,0,1,1,7,19135.21084884352,19168.445011178464,-9561.60542442176,1.6097869873046875,True,
exog,0,1,1,0,1,2,7,19068.85715597484,19107.60423289195,-9527.42857798742,2.9203109741210938,True,
exog,0,1,1,1,1,0,7,19733.63743469353,19766.877976614403,-9860.818717346765,1.8516170978546143,True,
exog,0,1,1,1,1,1,7,19136.335088868494,19175.108278259264,-9561.167544434247,1.7359399795532227,True,
exog,0,1,1,1,1,2,7,19069.934522483894,19114.216896103448,-9526.967261241947,3.0128402709960938,True,
exog,0,1,1,2,1,0,7,19466.515675291834,19505.270222860665,-9726.257837645917,2.7387142181396484,True,
exog,0,1,1,2,1,1,7,19089.90483699713,19134.195748504368,-9536.952418498566,3.7473959922790527,True,
exog,0,1,1,2,1,2,7,19071.581508457748,19121.399178779746,-9526.790754228874,4.356533050537109,True,
exog,0,1,2,0,1,0,7,20274.204888994856,20307.458169774018,-10131.102444497428,1.1405937671661377,True,
exog,0,1,2,0,1,1,7,19127.825754324615,19166.59521932051,-9556.912877162307,1.4526500701904297,True,
exog,0,1,2,0,1,2,7,19061.540355328325,19105.818456584624,-9522.770177664162,3.9886467456817627,True,
exog,0,1,2,1,1,0,7,19734.527130991384,19773.307763232402,-9860.263565495692,1.5733802318572998,True,
exog,0,1,2,1,1,1,7,19128.72203097297,19173.02999096828,-9556.361015486485,2.59497332572937,True,
exog,0,1,2,1,1,2,7,19062.56249563497,19112.37535954831,-9522.281247817486,5.483576059341431,True,
